,Unnamed: 0,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total Score,Pass/Fail
902,902,male,group B,associate's degree,free/reduced,completed,64,69,73,206,P
903,903,male,group B,associate's degree,standard,none,56,43,33,132,F
904,904,female,group B,some college,standard,none,63,69,66,198,P
905,905,female,group D,some high school,standard,completed,98,101,99,298,P
906,906,male,group D,some high school,free/reduced,none,41,33,39,113,F
907,907,female,group C,high school,standard,completed,59,66,78,203,P
908,908,male,group E,associate's degree,free/reduced,completed,54,48,52,154,P
909,909,female,group B,high school,free/reduced,completed,25,39,37,101,F
910,910,male,group E,associate's degree,free/reduced,completed,41,42,43,126,P
911,911,female,group D,bachelor's degree,free/reduced,none,61,70,75,206,P
912,912,female,group C,bachelor's degree,free/reduced,none,66,79,76,221,P
913,913,female,group B,bachelor's degree,standard,none,73,76,72,221,P
914,914,male,group C,bachelor's degree,free/reduced,completed,70,76,74,220,P
915,915,male,group C,high school,standard,completed,75,59,48,182,P
916,916,female,group D,high school,free/reduced,none,36,50,40,126,F
917,917,male,group C,some high school,free/reduced,none,69,71,64,204,P
918,918,male,group C,some college,standard,none,60,61,59,180,P
919,919,male,group D,high school,free/reduced,none,64,76,73,213,P
920,920,male,group D,some college,standard,none,96,69,83,248,P
921,921,male,group C,associate's degree,standard,completed,86,104,91,281,P
922,922,male,group C,associate's degree,standard,none,87,86,95,268,P
923,923,female,group B,associate's degree,standard,completed,54,59,75,188,P
924,924,male,group E,associate's degree,standard,completed,69,68,64,201,P
925,925,female,group B,associate's degree,standard,completed,58,68,71,197,P
926,926,female,group E,high school,standard,completed,57,71,79,207,P
927,927,female,group B,associate's degree,free/reduced,none,62,67,64,193,P
928,928,female,group A,associate's degree,standard,completed,53,60,61,174,P
929,929,male,group D,some high school,standard,none,81,77,77,235,P
930,930,male,group B,bachelor's degree,standard,none,68,66,68,202,P
931,931,male,group B,associate's degree,free/reduced,none,64,55,56,175,P
932,932,male,group B,bachelor's degree,standard,none,65,71,68,204,P
933,933,male,group D,some high school,standard,completed,89,69,74,232,P
934,934,female,group D,master's degree,standard,none,66,66,64,196,P
935,935,male,group C,high school,standard,none,65,52,49,166,P
936,936,male,group B,associate's degree,standard,none,67,59,59,185,P
937,937,male,group B,some college,free/reduced,none,69,63,64,196,P
938,938,male,group D,some college,free/reduced,none,56,66,62,184,P
939,939,female,group C,some college,free/reduced,completed,46,70,74,190,P
940,940,male,group D,some college,standard,completed,88,84,79,251,P
941,941,male,group D,associate's degree,standard,none,44,48,52,144,P
942,942,female,group C,some high school,free/reduced,completed,51,63,70,184,P
943,943,male,group C,some high school,standard,completed,68,74,67,209,P
944,944,female,group B,high school,standard,none,54,66,59,179,P
945,945,male,group D,some college,standard,none,45,45,40,130,F
946,946,male,group C,some college,free/reduced,none,65,59,52,176,P
947,947,female,group D,associate's degree,standard,none,54,77,70,201,P
948,948,male,group D,some college,standard,completed,78,64,52,194,P
949,949,male,group C,some high school,standard,none,50,47,44,141,P
950,950,female,group D,associate's degree,standard,none,79,97,87,263,P
951,951,female,group D,some college,standard,none,77,61,76,214,P
952,952,female,group D,some college,free/reduced,none,69,76,79,224,P
953,953,female,group C,some college,free/reduced,none,66,61,72,199,P
954,954,male,group D,some college,standard,completed,66,82,73,221,P
955,955,female,group C,associate's degree,free/reduced,none,61,78,67,206,P
956,956,male,group D,associate's degree,standard,none,78,69,65,212,P
957,957,female,group B,some college,standard,none,61,67,69,197,P
958,958,female,group E,associate's degree,free/reduced,none,73,79,82,234,P
959,959,female,group B,some college,free/reduced,completed,47,55,61,163,P
960,960,male,group E,some college,standard,none,68,73,70,211,P
961,961,male,group A,some high school,free/reduced,none,49,37,32,118,F
962,962,male,group C,high school,standard,none,56,48,35,139,F
963,963,male,group B,some high school,standard,completed,70,67,59,196,P
964,964,male,group B,some college,standard,completed,71,75,73,219,P
965,965,male,group D,high school,standard,completed,52,33,51,136,F
966,966,male,group B,some college,free/reduced,none,48,62,46,156,P
967,967,male,group A,high school,standard,none,66,71,72,209,P
968,968,male,group C,some college,free/reduced,completed,63,74,68,205,P
969,969,male,group E,some college,standard,none,70,59,49,178,P
970,970,male,group C,associate's degree,free/reduced,completed,63,75,60,198,P
971,971,male,group B,some high school,standard,completed,64,65,53,182,P
972,972,female,group C,associate's degree,standard,none,48,66,52,166,P
973,973,male,group C,master's degree,standard,none,86,76,78,240,P
974,974,female,group C,high school,standard,none,73,84,90,247,P
975,975,female,group D,some high school,free/reduced,completed,39,58,58,155,F
976,976,male,group B,bachelor's degree,standard,none,54,49,53,156,P
977,977,female,group C,some high school,standard,completed,84,93,93,270,P
978,978,female,group D,master's degree,free/reduced,none,45,61,50,156,P
979,979,male,group C,associate's degree,free/reduced,none,59,65,51,175,P
980,980,female,group D,some college,free/reduced,none,66,65,71,202,P
981,981,male,group D,some college,standard,none,73,67,68,208,P
982,982,female,group D,associate's degree,free/reduced,completed,84,96,94,274,P
983,983,male,group C,some high school,standard,none,73,62,66,201,P
984,984,male,group C,some college,free/reduced,none,64,58,53,175,P
985,985,male,group E,some college,free/reduced,completed,83,79,74,236,P
986,986,male,group D,some high school,free/reduced,none,61,51,39,151,F
987,987,male,group E,some college,standard,none,85,73,77,235,P
988,988,female,group A,some high school,free/reduced,none,40,42,44,126,F
989,989,male,group B,high school,free/reduced,none,68,80,64,212,P
990,990,female,group C,some high school,standard,none,67,71,76,214,P
991,991,male,group B,bachelor's degree,free/reduced,none,61,56,54,171,P
992,992,male,group C,some high school,standard,none,58,48,43,149,P
993,993,male,group E,associate's degree,free/reduced,completed,96,98,90,284,P
994,994,male,group E,associate's degree,standard,none,86,82,72,240,P
995,995,male,group C,associate's degree,standard,none,67,80,77,224,P
996,996,male,group C,high school,free/reduced,none,55,74,59,188,P
997,997,male,group C,high school,free/reduced,completed,48,49,58,155,P
998,998,male,group A,some college,free/reduced,none,69,75,74,218,P
999,999,female,group C,some college,free/reduced,none,38,43,33,114,F
1000,1000,male,group B,high school,standard,completed,70,41,46,157,P
1001,1001,male,group E,some high school,free/reduced,completed,76,81,74,231,P
1002,1002,male,group C,associate's degree,free/reduced,completed,73,86,80,239,P
1003,1003,female,group C,some college,free/reduced,none,53,63,62,178,P
1004,1004,female,group B,bachelor's degree,free/reduced,none,76,69,80,225,P
1005,1005,female,group C,associate's degree,standard,none,36,64,50,150,F
1006,1006,male,group C,some college,standard,completed,91,84,87,262,P
1007,1007,female,group C,some high school,standard,none,67,77,82,226,P
1008,1008,female,group E,associate's degree,standard,completed,68,70,80,218,P
1009,1009,female,group D,master's degree,standard,none,81,100,106,287,P
1010,1010,male,group B,associate's degree,free/reduced,none,55,53,55,163,P
1011,1011,female,group B,some college,standard,none,68,65,60,193,P
1012,1012,female,group E,bachelor's degree,standard,none,67,69,72,208,P
1013,1013,female,group D,associate's degree,free/reduced,completed,73,92,96,261,P
1014,1014,male,group C,some high school,free/reduced,completed,51,51,50,152,P
1015,1015,female,group B,bachelor's degree,standard,none,98,92,97,287,P
1016,1016,male,group D,high school,free/reduced,none,72,62,71,205,P
1017,1017,female,group C,associate's degree,free/reduced,completed,90,87,95,272,P
1018,1018,female,group B,some college,free/reduced,completed,54,64,63,181,P
1019,1019,female,group A,some college,standard,completed,75,79,81,235,P
1020,1020,female,group A,high school,free/reduced,completed,79,89,84,252,P
1021,1021,male,group B,high school,free/reduced,none,37,32,29,98,F
1022,1022,male,group C,high school,standard,none,80,95,84,259,P
1023,1023,male,group E,some college,standard,none,63,65,59,187,P
1024,1024,female,group D,some high school,standard,completed,73,82,81,236,P
1025,1025,male,group C,master's degree,standard,none,74,79,79,232,P
1026,1026,female,group A,some college,standard,none,62,65,65,192,P
1027,1027,male,group D,some college,standard,none,82,80,82,244,P
1028,1028,male,group C,high school,free/reduced,none,66,75,55,196,P
1029,1029,male,group B,associate's degree,standard,none,43,44,48,135,P
1030,1030,male,group B,associate's degree,standard,completed,89,89,88,266,P
1031,1031,male,group C,master's degree,free/reduced,completed,83,84,74,241,P
1032,1032,male,group E,some college,standard,none,66,60,43,169,P
1033,1033,female,group E,associate's degree,standard,completed,90,102,92,284,P
1034,1034,female,group D,some college,standard,none,58,65,68,191,P
1035,1035,male,group D,bachelor's degree,free/reduced,completed,60,70,72,202,P
1036,1036,female,group E,bachelor's degree,standard,none,92,109,97,298,P
1037,1037,male,group C,some college,free/reduced,none,89,63,69,221,P
1038,1038,male,group E,some college,standard,completed,87,71,70,228,P
1039,1039,female,group C,some college,standard,completed,71,87,88,246,P
1040,1040,female,group C,associate's degree,standard,completed,60,90,83,233,P
1041,1041,female,group D,high school,free/reduced,none,35,52,44,131,F
1042,1042,female,group D,some high school,standard,none,83,95,101,279,P
1043,1043,male,group B,bachelor's degree,free/reduced,completed,94,91,84,269,P
1044,1044,male,group E,associate's degree,free/reduced,completed,50,50,47,147,P
1045,1045,male,group D,some college,standard,completed,85,83,92,260,P
1046,1046,female,group D,bachelor's degree,free/reduced,completed,91,103,100,294,P
1047,1047,male,group E,some high school,free/reduced,completed,79,79,81,239,P
1048,1048,female,group D,high school,standard,none,46,61,56,163,P
1049,1049,female,group B,high school,free/reduced,completed,71,90,84,245,P
1050,1050,male,group A,bachelor's degree,standard,completed,80,84,78,242,P
1051,1051,male,group D,some high school,standard,completed,78,64,77,219,P
1052,1052,male,group A,some high school,free/reduced,none,38,36,33,107,F
1053,1053,male,group E,some high school,standard,none,87,72,58,217,P
1054,1054,female,group C,high school,free/reduced,none,67,69,63,199,P
1055,1055,female,group D,associate's degree,free/reduced,none,54,50,53,157,P
1056,1056,male,group A,high school,standard,none,66,71,73,210,P
1057,1057,male,group D,associate's degree,free/reduced,none,75,68,65,208,P
1058,1058,female,group E,associate's degree,standard,completed,100,95,100,295,P
1059,1059,female,group D,bachelor's degree,free/reduced,none,75,78,83,236,P
1060,1060,male,group C,master's degree,standard,none,71,60,57,188,P
1061,1061,female,group C,high school,free/reduced,completed,60,70,61,191,P
1062,1062,male,group D,some high school,standard,completed,86,82,96,264,P
1063,1063,female,group E,some high school,free/reduced,none,37,31,37,105,F
1064,1064,male,group A,high school,standard,none,56,55,46,157,P
1065,1065,male,group C,high school,standard,completed,49,56,49,154,P
1066,1066,male,group D,associate's degree,standard,none,80,83,77,240,P
1067,1067,male,group B,associate's degree,standard,none,64,43,44,151,P
1068,1068,male,group D,high school,standard,none,46,50,39,135,F
1069,1069,female,group A,associate's degree,free/reduced,none,45,55,49,149,P
1070,1070,female,group E,some college,standard,none,71,76,75,222,P
1071,1071,female,group C,some college,standard,none,84,88,91,263,P
1072,1072,male,group B,high school,standard,none,53,73,60,186,P
1073,1073,male,group C,associate's degree,free/reduced,completed,70,73,71,214,P
1074,1074,female,group D,master's degree,free/reduced,completed,57,70,78,205,P
1075,1075,female,group D,master's degree,free/reduced,completed,60,73,77,210,P
1076,1076,male,group B,high school,standard,none,47,52,49,148,P
1077,1077,female,group B,some college,standard,none,61,69,70,200,P
1078,1078,male,group E,bachelor's degree,standard,completed,77,64,63,204,P
1079,1079,male,group A,some high school,standard,completed,43,41,47,131,P
1080,1080,female,group D,master's degree,standard,completed,72,80,96,248,P
1081,1081,female,group D,bachelor's degree,free/reduced,none,61,75,81,217,P
1082,1082,female,group A,some high school,free/reduced,none,39,59,50,148,F
1083,1083,female,group B,master's degree,free/reduced,completed,57,71,63,191,P
1084,1084,female,group C,some college,standard,none,63,68,75,206,P
1085,1085,male,group B,high school,free/reduced,none,69,72,69,210,P
1086,1086,female,group C,some high school,standard,completed,92,88,97,277,P
1087,1087,female,group B,associate's degree,free/reduced,none,57,70,74,201,P
1088,1088,male,group C,some high school,free/reduced,none,78,73,58,209,P
1089,1089,male,group B,associate's degree,standard,none,72,77,74,223,P
1090,1090,female,group C,some college,free/reduced,none,68,69,74,211,P
1091,1091,male,group C,high school,standard,completed,58,61,54,173,P
1092,1092,female,group A,some high school,standard,completed,89,89,87,265,P
1093,1093,female,group D,some high school,standard,none,82,84,80,246,P
1094,1094,female,group B,some college,standard,none,12,36,38,86,F
1095,1095,male,group E,high school,free/reduced,completed,84,79,68,231,P
1096,1096,male,group A,some college,standard,completed,62,55,54,171,P
1097,1097,female,group B,associate's degree,standard,none,47,55,65,167,P
1098,1098,male,group B,some high school,standard,completed,87,95,79,261,P
1099,1099,female,group C,high school,standard,none,42,62,52,156,P
1100,1100,female,group E,some college,standard,completed,67,64,64,195,P
1101,1101,female,group C,some college,standard,completed,73,98,93,264,P
1102,1102,female,group D,some high school,standard,none,67,91,85,243,P
1103,1103,female,group D,associate's degree,free/reduced,completed,73,90,85,248,P
1104,1104,female,group C,bachelor's degree,free/reduced,none,72,79,78,229,P
1105,1105,male,group C,bachelor's degree,standard,completed,69,67,67,203,P
1106,1106,male,group C,master's degree,free/reduced,completed,42,46,47,135,P
1107,1107,female,group D,some college,free/reduced,none,55,73,69,197,P
1108,1108,female,group D,some college,free/reduced,none,43,65,54,162,P
1109,1109,female,group C,associate's degree,standard,completed,71,90,92,253,P
1110,1110,female,group C,some college,standard,none,80,88,88,256,P
1111,1111,female,group B,associate's degree,standard,completed,87,90,84,261,P
1112,1112,male,group A,high school,free/reduced,completed,64,59,58,181,P
1113,1113,male,group B,associate's degree,free/reduced,none,65,55,58,178,P
1114,1114,male,group C,high school,free/reduced,none,62,46,55,163,P
1115,1115,male,group D,some college,standard,completed,64,81,68,213,P
1116,1116,male,group C,some college,standard,none,66,52,47,165,P
1117,1117,female,group E,bachelor's degree,standard,none,61,71,75,207,P
1118,1118,male,group D,some college,free/reduced,none,52,48,57,157,P
1119,1119,female,group D,associate's degree,free/reduced,none,56,73,77,206,P
1120,1120,female,group E,master's degree,standard,none,75,96,93,264,P
1121,1121,female,group C,some college,standard,none,60,76,70,206,P
1122,1122,male,group D,some college,standard,completed,69,69,82,220,P
1123,1123,male,group B,some college,standard,none,60,55,44,159,P
1124,1124,male,group A,some college,free/reduced,none,56,59,60,175,P
1125,1125,female,group E,master's degree,free/reduced,none,53,73,65,191,P
1126,1126,female,group C,high school,free/reduced,none,65,76,70,211,P
1127,1127,female,group C,high school,free/reduced,completed,61,70,65,196,P
1128,1128,male,group B,some college,free/reduced,none,32,42,35,109,F
1129,1129,male,group A,associate's degree,standard,none,53,53,50,156,P
1130,1130,male,group E,some college,standard,none,51,51,43,145,P
1131,1131,female,group C,associate's degree,standard,none,55,52,61,168,P
1132,1132,male,group B,associate's degree,free/reduced,completed,81,86,76,243,P
1133,1133,male,group A,high school,free/reduced,none,50,49,50,149,P
1134,1134,female,group E,high school,free/reduced,none,49,56,57,162,P
1135,1135,female,group D,associate's degree,free/reduced,completed,43,58,51,152,P
1136,1136,female,group C,some college,standard,completed,71,90,88,249,P
1137,1137,female,group B,associate's degree,standard,none,57,57,65,179,P
1138,1138,female,group D,bachelor's degree,standard,none,56,66,71,193,P
1139,1139,female,group D,some high school,standard,completed,104,102,106,312,P
1140,1140,female,group C,associate's degree,standard,none,80,78,79,237,P
1141,1141,female,group C,bachelor's degree,standard,completed,94,95,100,289,P
1142,1142,male,group E,some college,free/reduced,none,98,85,90,273,P
1143,1143,male,group C,associate's degree,standard,none,56,54,40,150,F
1144,1144,male,group D,high school,standard,completed,54,41,47,142,P
1145,1145,male,group C,master's degree,standard,none,62,62,60,184,P
1146,1146,male,group C,bachelor's degree,free/reduced,none,46,54,52,152,P
1147,1147,female,group B,high school,standard,none,83,66,71,220,P
1148,1148,female,group C,some high school,standard,none,63,70,75,208,P
1149,1149,female,group C,associate's degree,standard,completed,66,71,68,205,P
1150,1150,male,group E,some college,standard,completed,88,81,74,243,P
1151,1151,female,group D,some college,standard,none,77,82,83,242,P
1152,1152,male,group A,some high school,free/reduced,none,51,40,44,135,F
1153,1153,male,group E,high school,standard,none,74,54,55,183,P
1154,1154,female,group D,high school,standard,none,65,58,58,181,P
1155,1155,male,group A,bachelor's degree,standard,completed,74,77,87,238,P
1156,1156,male,group A,some high school,standard,none,62,54,42,158,P
1157,1157,female,group C,bachelor's degree,free/reduced,completed,67,81,87,235,P
1158,1158,male,group A,bachelor's degree,standard,none,78,70,72,220,P
1159,1159,male,group C,associate's degree,free/reduced,completed,72,82,84,238,P
1160,1160,female,group E,associate's degree,standard,none,90,89,96,275,P
1161,1161,male,group D,some high school,standard,completed,55,64,67,186,P
1162,1162,female,group A,associate's degree,free/reduced,none,30,61,57,148,F
1163,1163,female,group D,some high school,standard,completed,79,91,88,258,P
1164,1164,female,group D,some high school,standard,none,57,51,57,165,P
1165,1165,male,group D,high school,standard,completed,52,49,54,155,P
1166,1166,male,group E,high school,standard,none,78,80,69,227,P
1167,1167,female,group D,associate's degree,free/reduced,completed,73,91,82,246,P
1168,1168,male,group D,high school,free/reduced,none,35,37,32,104,F
1169,1169,female,group A,some college,standard,none,48,64,70,182,P
1170,1170,male,group E,some high school,standard,none,91,89,74,254,P
1171,1171,male,group B,associate's degree,free/reduced,none,59,56,60,175,P
1172,1172,female,group C,some high school,free/reduced,completed,79,90,83,252,P
1173,1173,male,group A,master's degree,free/reduced,none,72,71,70,213,P
1174,1174,male,group A,high school,free/reduced,completed,69,65,59,193,P
1175,1175,male,group E,some college,standard,completed,80,89,78,247,P
1176,1176,male,group D,some high school,standard,completed,71,72,81,224,P
1177,1177,male,group B,high school,free/reduced,none,55,43,38,136,F
1178,1178,male,group D,master's degree,free/reduced,completed,82,83,98,263,P
1179,1179,female,group B,high school,standard,none,66,68,69,203,P
1180,1180,female,group D,some college,standard,completed,75,67,80,222,P
1181,1181,male,group C,some high school,standard,none,59,65,54,178,P
1182,1182,male,group E,associate's degree,standard,completed,64,57,54,175,P
1183,1183,female,group C,bachelor's degree,free/reduced,completed,47,56,54,157,P
1184,1184,female,group C,associate's degree,standard,none,54,57,55,166,P
1185,1185,male,group D,associate's degree,standard,none,42,47,47,136,P
1186,1186,male,group B,some high school,standard,completed,53,63,47,163,P
1187,1187,female,group C,some high school,standard,completed,65,82,69,216,P
1188,1188,female,group B,high school,free/reduced,completed,23,45,32,100,F
1189,1189,male,group A,bachelor's degree,standard,none,75,73,70,218,P
1190,1190,male,group D,some college,standard,none,78,75,71,224,P
1191,1191,female,group C,high school,free/reduced,none,41,40,42,123,F
1192,1192,female,group D,associate's degree,free/reduced,none,27,26,41,94,F
1193,1193,male,group D,some high school,free/reduced,completed,82,75,82,239,P
1194,1194,female,group B,associate's degree,standard,none,80,79,87,246,P
1195,1195,female,group D,associate's degree,standard,none,62,72,73,207,P
1196,1196,male,group B,high school,standard,none,61,51,49,161,P
1197,1197,female,group C,high school,standard,none,66,77,74,217,P
1198,1198,female,group E,associate's degree,standard,completed,75,90,94,259,P
1199,1199,female,group D,some college,free/reduced,none,50,58,61,169,P
1200,1200,female,group D,bachelor's degree,standard,none,76,77,82,235,P
1201,1201,female,group C,associate's degree,standard,none,70,74,76,220,P
1202,1202,male,group D,some college,standard,completed,87,77,91,255,P
1203,1203,male,group E,bachelor's degree,standard,completed,72,59,72,203,P
1204,1204,female,group D,associate's degree,free/reduced,none,48,62,51,161,P
1205,1205,male,group A,bachelor's degree,standard,none,79,62,75,216,P
1206,1206,male,group C,master's degree,free/reduced,none,64,58,70,192,P
1207,1207,male,group E,associate's degree,standard,none,78,74,71,223,P
1208,1208,male,group C,associate's degree,standard,completed,88,100,95,283,P
1209,1209,male,group B,bachelor's degree,free/reduced,none,48,55,48,151,P
1210,1210,female,group C,some high school,free/reduced,none,47,50,49,146,P
1211,1211,female,group C,some high school,standard,none,51,68,61,180,P
1212,1212,male,group D,bachelor's degree,free/reduced,none,55,38,51,144,F
1213,1213,male,group C,high school,standard,completed,54,44,49,147,P
1214,1214,male,group C,bachelor's degree,free/reduced,none,62,69,62,193,P
1215,1215,female,group C,some high school,standard,completed,61,70,86,217,P
1216,1216,female,group D,high school,standard,none,62,63,79,204,P
1217,1217,female,group C,some high school,standard,completed,75,91,88,254,P
1218,1218,male,group C,associate's degree,standard,completed,84,82,76,242,P
1219,1219,female,group D,some high school,free/reduced,none,47,48,48,143,P
1220,1220,female,group C,some high school,free/reduced,none,71,93,75,239,P
1221,1221,female,group B,master's degree,standard,none,93,104,94,291,P
1222,1222,male,group E,high school,standard,completed,89,87,84,260,P
1223,1223,male,group C,associate's degree,standard,completed,82,79,75,236,P
1224,1224,female,group A,associate's degree,free/reduced,none,47,47,49,143,P
1225,1225,male,group C,some high school,standard,none,59,50,42,151,P
1226,1226,male,group C,bachelor's degree,free/reduced,none,33,55,40,128,F
1227,1227,male,group C,bachelor's degree,standard,completed,67,66,70,203,P
1228,1228,male,group E,some high school,standard,completed,60,51,54,165,P
1229,1229,male,group A,bachelor's degree,standard,completed,83,85,79,247,P
1230,1230,female,group A,some college,free/reduced,none,54,63,55,172,P
1231,1231,female,group D,some college,standard,completed,74,67,72,213,P
1232,1232,female,group C,associate's degree,free/reduced,none,61,71,64,196,P
1233,1233,male,group E,associate's degree,standard,none,57,48,34,139,F
1234,1234,male,group B,associate's degree,free/reduced,none,72,63,62,197,P
1235,1235,female,group C,some high school,standard,completed,73,87,94,254,P
1236,1236,female,group D,high school,standard,none,86,90,86,262,P
1237,1237,male,group A,high school,free/reduced,none,46,52,45,143,P
1238,1238,male,group B,associate's degree,standard,none,45,40,42,127,F
1239,1239,male,group D,some high school,standard,completed,69,77,74,220,P
1240,1240,female,group D,bachelor's degree,standard,none,93,100,92,285,P
1241,1241,male,group C,high school,free/reduced,none,58,53,55,166,P
1242,1242,male,group D,some college,standard,completed,86,80,92,258,P
1243,1243,male,group B,some college,free/reduced,completed,75,75,78,228,P
1244,1244,male,group C,high school,free/reduced,none,73,71,61,205,P
1245,1245,female,group C,some college,standard,none,63,82,73,218,P
1246,1246,female,group B,high school,free/reduced,completed,28,43,35,106,F
1247,1247,male,group D,high school,free/reduced,none,51,60,51,162,P
1248,1248,male,group C,some college,standard,completed,79,77,76,232,P
1249,1249,male,group B,some college,standard,none,72,55,46,173,P
1250,1250,female,group C,some high school,free/reduced,completed,65,73,76,214,P
1251,1251,female,group B,some college,standard,none,68,60,61,189,P
1252,1252,male,group C,master's degree,free/reduced,none,53,60,43,156,P
1253,1253,female,group C,associate's degree,free/reduced,none,47,72,77,196,P
1254,1254,female,group C,some high school,standard,none,45,64,58,167,P
1255,1255,female,group A,bachelor's degree,standard,none,57,51,52,160,P
1256,1256,male,group A,some college,standard,completed,71,70,70,211,P
1257,1257,female,group C,some high school,free/reduced,none,0,17,12,29,F
1258,1258,female,group A,master's degree,free/reduced,none,56,67,75,198,P
1259,1259,female,group C,some college,standard,completed,66,81,79,226,P
1260,1260,male,group D,some high school,free/reduced,completed,49,60,67,176,P
1261,1261,male,group B,some high school,standard,completed,52,51,48,151,P
1262,1262,female,group D,associate's degree,free/reduced,completed,73,84,92,249,P
1263,1263,female,group D,high school,standard,none,63,65,62,190,P
1264,1264,male,group C,some college,standard,none,58,55,63,176,P
1265,1265,female,group D,some high school,free/reduced,completed,44,69,54,167,P
1266,1266,male,group C,some high school,standard,none,63,53,47,163,P
1267,1267,female,group B,associate's degree,standard,none,76,87,78,241,P
1268,1268,female,group C,some college,free/reduced,none,79,85,83,247,P
1269,1269,male,group D,high school,free/reduced,none,33,41,36,110,F
1270,1270,male,group D,some high school,standard,completed,66,66,72,204,P
1271,1271,female,group B,some college,standard,none,61,71,57,189,P
1272,1272,female,group B,associate's degree,standard,completed,80,89,89,258,P
1273,1273,male,group B,some college,free/reduced,none,36,39,41,116,F
1274,1274,male,group D,associate's degree,standard,none,79,76,76,231,P
1275,1275,female,group C,some college,standard,none,69,84,87,240,P
1276,1276,male,group B,associate's degree,free/reduced,completed,83,81,65,229,P
1277,1277,male,group C,high school,standard,none,76,57,56,189,P
1278,1278,male,group B,high school,standard,completed,80,59,73,212,P
1279,1279,male,group C,master's degree,standard,none,70,61,73,204,P
1280,1280,male,group A,some college,free/reduced,completed,84,79,82,245,P
1281,1281,male,group A,bachelor's degree,standard,none,54,54,63,171,P
1282,1282,male,group C,master's degree,standard,none,83,74,68,225,P
1283,1283,female,group C,master's degree,standard,completed,76,87,81,244,P
1284,1284,male,group D,associate's degree,free/reduced,none,57,51,53,161,P
1285,1285,female,group B,associate's degree,standard,completed,90,88,98,276,P
1286,1286,male,group C,high school,free/reduced,none,63,62,47,172,P
1287,1287,female,group C,associate's degree,standard,completed,42,53,62,157,P
1288,1288,male,group B,associate's degree,standard,none,81,72,73,226,P
1289,1289,male,group C,some college,standard,none,52,35,37,124,F
1290,1290,female,group D,associate's degree,free/reduced,completed,36,60,57,153,F
1291,1291,female,group E,associate's degree,standard,none,106,92,106,304,P
1292,1292,female,group C,high school,standard,none,69,82,69,220,P
1293,1293,male,group C,high school,standard,none,68,71,69,208,P
1294,1294,female,group B,some college,standard,none,26,38,29,93,F
1295,1295,female,group B,some high school,standard,completed,23,44,38,105,F
1296,1296,female,group C,bachelor's degree,free/reduced,none,61,76,84,221,P
1297,1297,female,group D,some high school,standard,completed,64,53,69,186,P
1298,1298,male,group E,high school,standard,completed,80,73,80,233,P
1299,1299,female,group C,some high school,standard,completed,60,82,78,220,P
1300,1300,male,group D,high school,standard,none,53,47,48,148,P
1301,1301,male,group B,some high school,standard,completed,55,76,73,204,P
1302,1302,female,group C,some college,free/reduced,none,16,42,32,90,F
1303,1303,female,group B,some college,free/reduced,none,57,58,61,176,P
1304,1304,male,group C,associate's degree,free/reduced,none,61,57,59,177,P
1305,1305,male,group B,some college,free/reduced,none,44,35,41,120,F
1306,1306,female,group B,some high school,free/reduced,none,23,30,33,86,F
1307,1307,male,group C,associate's degree,free/reduced,none,61,60,61,182,P
1308,1308,female,group C,some college,free/reduced,none,81,86,96,263,P
1309,1309,male,group C,associate's degree,standard,none,83,76,81,240,P
1310,1310,female,group C,high school,free/reduced,completed,71,85,87,243,P
1311,1311,female,group B,high school,free/reduced,completed,73,87,79,239,P
1312,1312,female,group E,associate's degree,free/reduced,none,73,87,76,236,P
1313,1313,female,group D,some college,free/reduced,none,76,90,82,248,P
1314,1314,male,group D,high school,standard,none,71,74,78,223,P
1315,1315,female,group E,associate's degree,standard,none,50,45,50,145,P
1316,1316,male,group A,high school,standard,none,56,54,52,162,P
1317,1317,male,group B,some college,free/reduced,completed,61,63,59,183,P
1318,1318,male,group C,some college,free/reduced,none,70,73,63,206,P
1319,1319,female,group C,high school,free/reduced,none,39,39,42,120,F
1320,1320,female,group B,bachelor's degree,standard,none,65,94,86,245,P
1321,1321,male,group C,some college,standard,completed,83,85,78,246,P
1322,1322,male,group E,some college,standard,completed,100,93,77,270,P
1323,1323,female,group C,associate's degree,standard,none,53,63,48,164,P
1324,1324,male,group D,some college,standard,completed,81,83,76,240,P
1325,1325,female,group C,bachelor's degree,free/reduced,completed,57,81,79,217,P
1326,1326,female,group C,some college,standard,none,58,60,75,193,P
1327,1327,male,group C,some college,free/reduced,completed,69,71,72,212,P
1328,1328,female,group C,some college,standard,none,80,72,72,224,P
1329,1329,female,group C,associate's degree,standard,none,85,96,90,271,P
1330,1330,male,group E,master's degree,standard,none,85,85,81,251,P
1331,1331,female,group C,bachelor's degree,standard,completed,96,102,99,297,P
1332,1332,female,group D,some high school,standard,none,64,64,60,188,P
1333,1333,male,group E,high school,standard,none,101,74,73,248,P
1334,1334,female,group C,some high school,free/reduced,completed,55,75,70,200,P
1335,1335,male,group A,high school,free/reduced,none,39,43,50,132,F
1336,1336,male,group D,some college,standard,completed,68,55,65,188,P
1337,1337,male,group D,associate's degree,free/reduced,completed,77,79,76,232,P
1338,1338,female,group D,some high school,free/reduced,completed,41,66,60,167,P
1339,1339,female,group D,some high school,standard,none,53,67,67,187,P
1340,1340,male,group C,bachelor's degree,standard,completed,74,75,76,225,P
