,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
1360,female,group C,high school,standard,completed,51,71,77
1361,female,group C,associate's degree,free/reduced,completed,58,59,72
1362,male,group B,some college,free/reduced,none,68,66,63
1363,female,group D,associate's degree,standard,none,76,73,74
1364,male,group C,some high school,standard,none,42,54,45
1365,female,group C,associate's degree,standard,completed,64,72,83
1366,male,group C,associate's degree,standard,none,63,61,60
1367,male,group C,some college,free/reduced,none,88,65,61
1368,female,group D,associate's degree,standard,none,80,95,84
1369,female,group D,master's degree,standard,none,68,77,81
1370,female,group B,high school,free/reduced,none,42,59,50
1371,male,group B,high school,standard,completed,60,40,40
1372,male,group D,bachelor's degree,free/reduced,completed,68,75,71
1373,female,group C,high school,free/reduced,none,62,80,67
1374,female,group C,high school,standard,completed,57,64,70
1375,female,group D,associate's degree,free/reduced,none,44,65,58
1376,female,group D,some college,standard,completed,81,92,102
1377,female,group B,some high school,standard,none,42,58,51
1378,male,group C,some high school,standard,none,52,57,50
1379,female,group C,bachelor's degree,standard,completed,76,92,91
1380,female,group D,some high school,free/reduced,none,50,54,51
1381,male,group C,associate's degree,free/reduced,completed,62,46,56
1382,male,group B,associate's degree,standard,none,52,50,45
1383,male,group A,high school,standard,completed,72,78,77
1384,female,group D,associate's degree,standard,none,60,70,62
1385,male,group C,associate's degree,standard,completed,57,54,59
1386,female,group E,master's degree,standard,none,83,97,94
1387,female,group C,high school,standard,none,60,60,77
1388,male,group D,some high school,standard,completed,59,66,64
1389,female,group B,high school,standard,none,73,73,70
1390,male,group D,associate's degree,free/reduced,none,68,74,69
1391,female,group A,some college,standard,completed,84,79,97
1392,female,group C,associate's degree,standard,completed,72,59,66
1393,female,group D,master's degree,standard,none,88,102,94
1394,female,group B,some college,free/reduced,completed,61,72,71
1395,female,group C,some college,standard,none,64,82,66
1396,female,group C,bachelor's degree,standard,none,84,84,91
1397,female,group A,master's degree,standard,none,46,58,52
1398,male,group D,high school,standard,none,68,71,64
1399,female,group B,associate's degree,standard,none,81,86,87
1400,male,group D,some high school,standard,none,87,82,82
1401,male,group D,some high school,free/reduced,none,59,49,37
1402,male,group E,associate's degree,standard,none,54,42,34
1403,female,group E,associate's degree,standard,none,97,103,92
1404,male,group C,associate's degree,free/reduced,none,71,62,69
1405,female,group D,some high school,free/reduced,none,24,29,27
1406,female,group C,bachelor's degree,standard,completed,47,55,72
1407,female,group C,associate's degree,free/reduced,completed,66,73,66
1408,male,group A,bachelor's degree,standard,completed,82,75,86
1409,female,group B,associate's degree,standard,none,57,63,63
1410,male,group D,some high school,standard,none,92,65,77
1411,male,group B,some college,free/reduced,completed,79,70,81
1412,female,group E,high school,free/reduced,completed,66,73,70
1413,male,group D,high school,standard,none,75,80,75
1414,female,group C,some college,standard,none,72,80,82
1415,male,group E,some college,standard,none,97,95,75
1416,male,group C,master's degree,free/reduced,completed,66,60,73
1417,male,group C,bachelor's degree,standard,completed,87,84,87
1418,female,group D,high school,standard,completed,61,71,75
1419,female,group B,some high school,free/reduced,completed,74,85,90
1420,male,group E,some college,standard,none,77,61,67
1421,male,group E,some college,standard,none,75,62,59
1422,male,group A,some college,standard,completed,68,49,44
1423,female,group C,associate's degree,standard,completed,91,97,94
1424,male,group B,some college,standard,completed,81,85,72
1425,male,group C,high school,free/reduced,completed,55,44,50
1426,male,group D,some high school,standard,none,72,74,69
1427,female,group D,some college,standard,completed,71,85,101
1428,female,group E,some high school,free/reduced,none,72,78,67
1429,male,group C,master's degree,free/reduced,completed,63,73,79
1430,male,group C,high school,standard,none,58,48,47
1431,female,group D,some high school,free/reduced,completed,41,63,70
1432,male,group D,some college,standard,none,79,61,62
1433,female,group C,bachelor's degree,standard,none,84,89,93
1434,male,group A,master's degree,free/reduced,none,83,81,73
1435,male,group B,some college,free/reduced,none,56,54,44
1436,female,group B,bachelor's degree,standard,none,69,69,71
1437,female,group E,some high school,standard,none,70,85,83
1438,female,group D,associate's degree,standard,none,84,95,89
1439,female,group C,some high school,free/reduced,none,0,23,16
1440,male,group B,bachelor's degree,standard,none,68,68,71
1441,female,group D,master's degree,standard,none,62,69,77
1442,female,group C,some college,standard,none,71,81,73
1443,male,group A,high school,standard,none,76,72,64
1444,female,group E,master's degree,free/reduced,none,58,80,62
1445,female,group C,associate's degree,standard,none,67,82,72
1446,male,group C,high school,standard,none,75,53,55
1447,male,group C,some college,standard,none,88,88,81
1448,male,group E,associate's degree,standard,none,95,71,81
1449,female,group C,associate's degree,standard,completed,68,82,83
1450,female,group B,associate's degree,free/reduced,none,58,71,65
1451,male,group D,some college,standard,completed,80,77,87
1452,female,group D,some college,free/reduced,completed,67,90,85
1453,male,group B,associate's degree,free/reduced,none,64,53,60
1454,male,group C,some high school,free/reduced,none,79,67,72
1455,female,group D,master's degree,standard,completed,75,91,95
1456,female,group E,some college,standard,completed,67,73,66
1457,male,group C,some college,free/reduced,none,61,59,57
1458,female,group C,some college,free/reduced,none,32,39,51
1459,female,group C,high school,standard,completed,62,61,74
1460,female,group C,bachelor's degree,standard,none,84,89,90
1461,female,group C,bachelor's degree,free/reduced,completed,72,79,83
1462,male,group C,associate's degree,free/reduced,none,68,67,65
1463,male,group E,high school,free/reduced,completed,61,55,47
1464,male,group D,some high school,standard,completed,85,91,76
1465,female,group E,associate's degree,standard,none,89,99,98
1466,female,group E,high school,free/reduced,completed,66,69,83
1467,female,group E,master's degree,standard,completed,97,102,103
1468,male,group C,high school,standard,none,71,74,70
1469,female,group C,some college,standard,completed,69,91,82
1470,female,group E,some college,standard,completed,88,86,98
1471,female,group C,some high school,standard,none,82,93,89
1472,female,group D,some college,standard,none,73,93,88
1473,male,group E,associate's degree,free/reduced,completed,96,71,81
1474,male,group C,some high school,standard,completed,77,74,62
1475,female,group B,some college,standard,none,55,64,52
1476,male,group D,bachelor's degree,standard,none,76,81,67
1477,male,group E,some high school,standard,none,28,30,29
1478,male,group D,associate's degree,standard,none,66,72,72
1479,male,group A,some high school,standard,completed,52,42,57
1480,female,group D,some college,free/reduced,none,61,77,69
1481,female,group C,bachelor's degree,standard,completed,59,78,73
1482,female,group C,some college,free/reduced,none,67,77,72
1483,female,group D,associate's degree,standard,none,60,80,72
1484,female,group B,associate's degree,standard,none,50,56,53
1485,male,group C,some high school,standard,none,43,44,37
1486,female,group D,bachelor's degree,free/reduced,none,65,78,75
1487,male,group D,high school,standard,none,74,62,68
1488,male,group D,bachelor's degree,standard,none,85,74,72
1489,male,group C,associate's degree,free/reduced,completed,63,70,74
1490,male,group E,some college,standard,none,73,52,52
1491,female,group D,bachelor's degree,standard,none,69,68,65
1492,male,group B,high school,standard,none,45,51,39
1493,female,group D,some college,free/reduced,none,69,68,77
1494,female,group B,associate's degree,free/reduced,none,48,68,57
1495,female,group B,some high school,standard,completed,74,83,80
1496,female,group C,associate's degree,standard,none,53,65,61
1497,female,group B,some high school,standard,none,69,74,61
1498,female,group C,some college,standard,completed,72,68,89
1499,male,group C,high school,standard,none,60,65,62
1500,male,group A,high school,free/reduced,none,50,53,47
1501,male,group B,high school,standard,none,61,58,53
1502,female,group D,some high school,standard,none,69,80,83
1503,female,group D,high school,standard,none,57,56,53
1504,male,group B,some high school,free/reduced,completed,45,57,53
1505,female,group D,some college,free/reduced,none,53,73,66
1506,male,group A,some college,standard,completed,58,51,55
1507,male,group A,some high school,standard,completed,67,63,61
1508,female,group C,bachelor's degree,standard,none,79,86,77
1509,male,group B,some high school,free/reduced,none,52,46,38
1510,male,group A,bachelor's degree,free/reduced,completed,53,62,58
1511,male,group B,some high school,standard,completed,73,67,67
1512,female,group C,some college,standard,completed,71,92,95
1513,female,group C,associate's degree,free/reduced,none,63,74,68
1514,female,group C,some college,free/reduced,completed,69,77,73
1515,female,group B,high school,free/reduced,none,63,72,67
1516,female,group C,some high school,standard,completed,76,90,85
1517,male,group D,some high school,standard,completed,79,74,81
1518,male,group B,some college,standard,none,66,57,51
1519,female,group D,some high school,free/reduced,none,46,48,58
1520,female,group C,some college,free/reduced,completed,51,72,63
1521,female,group D,some college,free/reduced,none,47,68,67
1522,male,group B,some high school,standard,completed,64,49,63
1523,female,group E,some high school,free/reduced,none,73,81,85
1524,male,group C,some college,standard,none,79,85,79
1525,male,group D,master's degree,standard,none,77,82,74
1526,female,group D,associate's degree,free/reduced,none,18,31,35
1527,female,group C,high school,standard,none,72,84,73
1528,male,group C,high school,standard,none,70,69,56
1529,female,group C,some high school,standard,completed,50,53,57
1530,female,group D,some high school,standard,none,76,82,87
1531,female,group E,high school,standard,none,76,78,73
1532,female,group B,some high school,standard,none,72,68,70
1533,male,group D,associate's degree,free/reduced,none,86,80,85
1534,female,group C,high school,standard,none,60,75,66
1535,female,group D,some high school,standard,none,87,98,97
1536,female,group D,associate's degree,free/reduced,completed,47,56,66
1537,female,group C,bachelor's degree,standard,none,83,95,78
1538,male,group D,associate's degree,standard,completed,60,75,68
1539,female,group C,some college,free/reduced,completed,64,86,89
1540,female,group B,some college,standard,none,17,36,34
1541,male,group B,some college,standard,completed,64,78,71
1542,female,group E,some college,standard,completed,74,75,83
1543,female,group B,some high school,standard,completed,31,60,45
1544,male,group E,associate's degree,free/reduced,completed,101,98,94
1545,male,group D,some high school,standard,completed,65,73,76
1546,female,group C,some college,standard,none,59,58,51
1547,female,group D,some college,free/reduced,none,68,61,74
1548,female,group E,associate's degree,standard,none,82,96,94
1549,female,group C,some college,free/reduced,completed,60,78,71
1550,female,group C,some high school,standard,completed,86,96,77
1551,male,group C,bachelor's degree,standard,completed,63,73,70
1552,male,group D,some college,standard,none,67,50,45
1553,female,group D,some high school,free/reduced,none,72,92,86
1554,male,group E,bachelor's degree,standard,completed,97,94,95
1555,male,group B,associate's degree,free/reduced,none,66,54,61
1556,female,group C,bachelor's degree,standard,completed,92,103,97
1557,female,group B,associate's degree,standard,none,78,76,75
1558,male,group E,some college,standard,completed,74,77,71
1559,female,group E,some high school,free/reduced,none,41,50,41
1560,female,group D,some college,free/reduced,none,72,84,83
1561,male,group D,some high school,standard,none,54,56,45
1562,female,group E,associate's degree,standard,completed,91,87,89
1563,female,group B,some high school,standard,completed,61,78,72
1564,female,group D,some high school,standard,none,71,80,90
1565,female,group D,some college,free/reduced,none,63,67,67
1566,male,group D,bachelor's degree,free/reduced,completed,37,36,37
1567,female,group C,associate's degree,standard,none,44,54,52
1568,female,group B,master's degree,standard,none,77,90,88
1569,male,group A,high school,free/reduced,none,49,48,37
1570,male,group D,some college,standard,completed,82,77,95
1571,female,group C,some high school,standard,completed,62,73,74
1572,female,group E,associate's degree,free/reduced,completed,75,84,95
1573,male,group D,bachelor's degree,free/reduced,completed,66,66,75
1574,male,group B,some high school,standard,completed,103,88,94
1575,male,group C,high school,standard,none,72,57,55
1576,female,group C,associate's degree,free/reduced,none,72,68,74
1577,male,group D,some high school,standard,completed,80,66,72
1578,male,group A,some high school,free/reduced,none,54,48,35
1579,female,group C,high school,standard,none,74,85,85
1580,female,group C,some college,free/reduced,none,57,68,67
1581,female,group B,some college,standard,completed,91,96,95
1582,female,group B,master's degree,standard,none,96,91,90
1583,female,group C,some high school,free/reduced,none,47,59,54
1584,male,group E,associate's degree,standard,none,87,80,82
1585,male,group C,bachelor's degree,standard,completed,86,86,81
1586,female,group D,high school,standard,none,68,71,71
1587,female,group E,high school,free/reduced,completed,64,74,70
1588,male,group E,associate's degree,standard,completed,76,72,78
1589,female,group C,high school,free/reduced,completed,50,68,67
1590,male,group D,high school,standard,completed,52,35,51
1591,male,group D,some college,free/reduced,none,56,71,69
1592,male,group D,some high school,standard,completed,67,64,79
1593,female,group C,bachelor's degree,free/reduced,completed,40,53,56
1594,female,group D,some high school,standard,completed,51,67,68
1595,male,group D,bachelor's degree,standard,none,90,77,80
1596,male,group E,some high school,free/reduced,completed,74,74,65
1597,male,group B,some high school,standard,completed,64,56,51
1598,female,group C,high school,standard,none,58,72,62
1599,female,group D,bachelor's degree,standard,completed,72,84,82
1600,male,group A,bachelor's degree,standard,none,68,66,66
1601,female,group C,bachelor's degree,free/reduced,completed,65,93,83
1602,male,group A,high school,standard,none,54,45,39
1603,female,group E,some high school,standard,completed,79,84,83
1604,female,group C,some high school,free/reduced,none,49,52,59
1605,female,group C,master's degree,free/reduced,none,55,58,62
1606,female,group A,some college,standard,none,55,64,60
1607,male,group E,some college,standard,none,45,47,52
1608,female,group C,bachelor's degree,standard,none,64,67,72
1609,female,group B,high school,free/reduced,none,37,62,48
1610,male,group D,bachelor's degree,standard,none,83,79,83
1611,female,group C,associate's degree,standard,none,52,56,46
1612,female,group C,some high school,free/reduced,completed,57,74,73
1613,male,group A,some high school,standard,none,62,61,46
1614,male,group D,high school,standard,completed,68,69,68
1615,male,group D,some college,standard,none,35,39,35
1616,male,group C,bachelor's degree,free/reduced,none,32,56,56
1617,male,group B,associate's degree,standard,completed,88,86,94
1618,male,group E,some college,standard,none,74,74,69
1619,female,group C,associate's degree,free/reduced,none,56,75,77
1620,female,group C,some high school,standard,none,78,90,92
1621,male,group D,some college,standard,none,41,48,42
1622,female,group D,some college,free/reduced,none,72,77,88
1623,male,group E,some college,standard,none,84,80,74
1624,male,group B,associate's degree,standard,none,55,44,38
1625,female,group C,some high school,standard,completed,60,73,77
1626,female,group B,high school,free/reduced,completed,67,78,69
1627,female,group C,some high school,standard,none,56,78,76
1628,female,group C,some college,free/reduced,none,65,66,62
1629,female,group C,bachelor's degree,standard,none,67,69,73
1630,female,group C,some high school,standard,none,81,91,87
1631,male,group A,some high school,standard,completed,45,38,43
1632,female,group E,some college,standard,completed,88,84,99
1633,male,group C,bachelor's degree,free/reduced,none,40,54,55
1634,male,group E,associate's degree,free/reduced,completed,82,65,72
1635,male,group C,master's degree,free/reduced,none,64,64,66
1636,male,group D,bachelor's degree,free/reduced,completed,44,50,45
1637,female,group D,some college,standard,completed,62,85,87
1638,male,group E,some college,standard,none,69,69,60
1639,female,group C,some high school,standard,none,79,74,79
1640,female,group A,associate's degree,standard,completed,56,66,60
1641,female,group C,high school,standard,none,83,86,82
1642,male,group B,some college,standard,completed,78,71,65
1643,female,group B,some college,free/reduced,completed,64,79,74
1644,male,group E,high school,standard,none,90,73,71
1645,female,group C,associate's degree,free/reduced,none,66,69,70
1646,male,group D,associate's degree,standard,none,92,85,82
1647,male,group C,associate's degree,free/reduced,none,70,78,68
1648,male,group E,some high school,standard,none,78,61,63
1649,female,group C,bachelor's degree,standard,none,62,67,78
1650,female,group E,some college,standard,completed,69,82,66
1651,male,group B,some college,free/reduced,none,57,54,42
1652,male,group B,some college,standard,none,51,56,51
1653,male,group D,high school,standard,none,67,76,73
1654,female,group C,some high school,standard,none,69,77,75
1655,female,group B,bachelor's degree,standard,none,55,70,78
1656,male,group C,associate's degree,standard,none,83,89,81
1657,female,group A,some college,free/reduced,none,49,73,51
1658,male,group C,some college,standard,none,73,68,56
1659,male,group D,some high school,standard,none,79,73,66
1660,male,group C,associate's degree,free/reduced,completed,71,82,85
1661,female,group D,master's degree,standard,none,62,68,71
1662,female,group D,some college,standard,none,79,99,94
1663,female,group C,some high school,free/reduced,none,69,79,78
1664,female,group C,some college,standard,completed,68,89,83
1665,female,group B,high school,standard,completed,64,68,63
1666,female,group A,some college,standard,completed,74,82,88
1667,male,group A,some high school,standard,none,57,33,39
1668,female,group D,some college,standard,none,71,71,75
1669,female,group D,associate's degree,standard,none,83,88,88
1670,female,group C,bachelor's degree,free/reduced,none,68,77,71
1671,female,group C,bachelor's degree,standard,completed,98,96,94
1672,female,group E,high school,free/reduced,none,60,57,73
1673,male,group E,some high school,standard,completed,73,56,53
1674,male,group B,some high school,standard,completed,51,58,33
1675,male,group C,associate's degree,standard,none,79,66,79
1676,female,group C,some high school,standard,none,72,77,71
1677,female,group B,high school,standard,none,48,62,66
1678,male,group C,associate's degree,standard,none,68,73,69
1679,male,group E,high school,free/reduced,completed,89,91,82
1680,female,group D,some college,free/reduced,none,71,86,92
1681,male,group C,some high school,free/reduced,completed,53,42,43
1682,male,group B,bachelor's degree,standard,none,56,65,67
1683,female,group C,some college,standard,none,53,55,60
1684,female,group C,bachelor's degree,free/reduced,none,40,53,67
1685,male,group D,some college,standard,none,80,56,53
1686,female,group C,some high school,standard,none,71,80,77
1687,male,group D,high school,standard,none,53,48,32
1688,male,group E,high school,free/reduced,completed,92,74,74
1689,female,group E,high school,standard,none,77,80,78
1690,female,group D,master's degree,standard,none,91,106,99
1691,male,group B,associate's degree,standard,completed,82,85,93
1692,male,group E,bachelor's degree,standard,completed,90,61,68
1693,male,group D,some college,free/reduced,completed,65,56,71
1694,female,group D,some high school,standard,completed,58,57,77
1695,male,group D,some high school,standard,none,70,71,61
1696,female,group C,high school,standard,none,59,71,75
1697,male,group B,some high school,standard,completed,69,53,50
1698,male,group C,high school,standard,none,49,56,54
1699,female,group D,master's degree,standard,none,74,75,85
1700,male,group C,associate's degree,free/reduced,none,75,71,62
1701,male,group B,some high school,standard,completed,88,77,79
1702,male,group C,associate's degree,standard,none,80,88,80
1703,female,group B,associate's degree,standard,completed,100,89,92
1704,female,group A,some college,standard,none,51,68,71
1705,male,group D,associate's degree,standard,completed,73,75,70
1706,male,group C,associate's degree,free/reduced,completed,72,58,61
1707,male,group D,high school,standard,none,53,55,42
1708,female,group D,some college,standard,completed,82,77,85
1709,male,group D,bachelor's degree,free/reduced,completed,57,64,75
1710,female,group B,associate's degree,free/reduced,none,61,79,71
1711,male,group D,high school,free/reduced,none,75,80,65
1712,male,group D,some high school,standard,none,52,65,60
1713,male,group D,associate's degree,standard,none,67,60,53
1714,male,group C,some high school,free/reduced,none,62,52,53
1715,female,group C,bachelor's degree,free/reduced,completed,42,52,52
1716,female,group C,high school,standard,none,52,60,64
1717,female,group C,some college,standard,none,73,86,78
1718,male,group E,high school,free/reduced,completed,82,84,71
1719,female,group B,high school,standard,none,66,75,73
1720,male,group D,associate's degree,standard,completed,90,87,75
1721,male,group D,high school,standard,none,38,58,58
1722,female,group E,some college,standard,completed,55,80,65
1723,female,group C,some college,standard,none,71,73,69
1724,female,group D,some college,free/reduced,none,49,64,56
1725,male,group D,some college,standard,completed,77,52,66
1726,male,group B,some college,standard,none,67,63,49
1727,male,group D,high school,free/reduced,none,65,70,73
1728,male,group E,some college,standard,none,64,50,41
1729,female,group C,some high school,free/reduced,completed,65,82,83
1730,male,group C,some college,free/reduced,none,74,58,62
1731,male,group D,some college,standard,none,56,67,52
1732,male,group E,associate's degree,free/reduced,none,88,89,79
1733,male,group D,associate's degree,free/reduced,none,72,87,72
1734,male,group B,some college,free/reduced,none,64,56,50
1735,male,group C,high school,free/reduced,none,54,71,62
1736,male,group A,some high school,standard,completed,45,40,43
1737,female,group B,associate's degree,standard,none,76,82,77
1738,female,group B,some high school,standard,completed,65,88,81
1739,female,group C,high school,standard,none,77,86,89
1740,male,group D,high school,standard,none,64,57,51
1741,female,group C,high school,standard,none,30,38,23
1742,female,group C,associate's degree,standard,none,48,55,60
1743,female,group B,high school,standard,none,50,65,66
1744,female,group C,some high school,free/reduced,none,47,64,46
1745,male,group C,associate's degree,free/reduced,none,54,56,47
1746,male,group D,some college,standard,none,46,38,33
1747,female,group D,master's degree,free/reduced,completed,52,52,61
1748,female,group A,some high school,free/reduced,none,45,43,41
1749,female,group C,associate's degree,standard,none,68,64,65
1750,female,group C,high school,standard,none,58,59,63
1751,male,group D,bachelor's degree,free/reduced,none,49,49,53
1752,female,group C,associate's degree,standard,none,99,95,87
1753,female,group A,associate's degree,free/reduced,none,66,83,78
1754,female,group C,some high school,free/reduced,none,36,48,52
1755,female,group E,high school,standard,none,83,71,74
1756,female,group E,master's degree,standard,none,53,62,61
1757,female,group D,some high school,standard,completed,69,81,81
1758,female,group C,master's degree,standard,completed,78,93,92
1759,female,group C,associate's degree,free/reduced,none,61,65,67
1760,male,group C,bachelor's degree,standard,none,89,81,92
1761,female,group B,bachelor's degree,standard,completed,59,83,79
1762,female,group C,high school,standard,none,51,60,58
1763,male,group C,high school,standard,completed,62,49,54
1764,male,group D,some high school,standard,completed,59,61,74
1765,male,group E,high school,standard,none,89,77,68
1766,female,group D,some college,free/reduced,none,49,66,63
1767,male,group D,high school,free/reduced,none,65,72,66
1768,female,group C,bachelor's degree,standard,completed,59,66,76
1769,male,group D,some high school,standard,completed,75,65,67
1770,female,group E,master's degree,standard,none,63,68,69
1771,male,group D,associate's degree,free/reduced,completed,59,80,67
1772,male,group B,some college,free/reduced,completed,62,67,63
1773,female,group D,associate's degree,standard,completed,64,79,74
1774,female,group C,some high school,standard,none,81,101,93
1775,male,group A,associate's degree,free/reduced,completed,36,52,49
1776,female,group B,bachelor's degree,standard,none,75,93,80
1777,female,group C,bachelor's degree,standard,completed,55,81,72
1778,female,group D,high school,free/reduced,none,74,89,91
1779,female,group B,some high school,free/reduced,completed,80,98,86
1780,female,group B,bachelor's degree,standard,completed,63,72,88
1781,female,group B,high school,free/reduced,none,71,91,75
1782,female,group C,high school,standard,none,75,86,81
1783,male,group A,some high school,standard,completed,65,67,62
1784,female,group B,bachelor's degree,free/reduced,none,77,77,78
1785,female,group C,bachelor's degree,standard,none,67,71,71
1786,male,group B,bachelor's degree,free/reduced,none,68,58,63
1787,female,group E,high school,free/reduced,completed,55,77,82
1788,female,group E,some high school,standard,none,79,83,90
1789,female,group C,associate's degree,free/reduced,none,60,77,72
1790,male,group B,bachelor's degree,free/reduced,none,81,59,65
1791,male,group C,associate's degree,free/reduced,none,67,68,55
1792,male,group B,associate's degree,free/reduced,none,66,63,64
1793,male,group D,some high school,free/reduced,none,51,43,38
1794,male,group B,associate's degree,standard,none,97,75,83
1795,male,group D,master's degree,standard,none,99,83,89
1796,male,group D,some high school,standard,none,59,66,60
1797,male,group D,high school,free/reduced,none,63,72,63
1798,female,group D,associate's degree,standard,none,77,76,75
1799,male,group A,some college,standard,none,59,35,36
1800,female,group D,some high school,standard,none,60,84,90
1801,male,group A,some college,free/reduced,none,62,60,57
1802,female,group C,associate's degree,standard,none,58,66,70
1803,female,group C,some college,standard,none,59,75,71
1804,female,group C,some high school,standard,none,70,76,72
1805,male,group C,associate's degree,standard,none,90,77,75
1806,female,group C,associate's degree,standard,none,65,79,70
1807,female,group C,associate's degree,standard,completed,72,82,84
1808,male,group E,some high school,standard,completed,70,69,81
1809,male,group C,some high school,free/reduced,none,70,61,70
1810,male,group B,some college,free/reduced,completed,80,76,75
1811,male,group C,some college,free/reduced,none,71,59,65
1812,female,group B,master's degree,free/reduced,completed,79,100,94
1813,female,group C,some college,standard,completed,68,79,77
1814,male,group B,some college,standard,none,59,61,58
1815,male,group E,associate's degree,standard,none,74,59,64
1816,male,group D,high school,standard,none,73,61,63
1817,female,group D,master's degree,standard,completed,70,65,80
1818,female,group C,some college,free/reduced,completed,46,79,64
1819,male,group B,some high school,free/reduced,completed,39,43,52
1820,female,group C,high school,free/reduced,none,35,31,41
1821,male,group B,some college,free/reduced,none,43,48,32
1822,female,group D,high school,standard,none,42,67,62
1823,male,group C,high school,free/reduced,none,65,56,60
1824,male,group D,associate's degree,free/reduced,none,70,67,64
1825,male,group D,high school,standard,none,59,55,45
1826,female,group A,some high school,free/reduced,none,42,41,39
1827,male,group C,bachelor's degree,free/reduced,none,59,57,49
1828,male,group C,high school,standard,none,80,65,63
1829,female,group B,bachelor's degree,standard,none,102,95,94
1830,female,group B,some college,free/reduced,none,43,59,58
1831,female,group A,high school,standard,completed,76,79,77
1832,female,group B,high school,free/reduced,none,65,86,87
1833,male,group C,high school,standard,none,69,80,78
1834,female,group C,some college,standard,none,54,80,73
1835,male,group E,some high school,standard,completed,64,58,64
1836,male,group C,associate's degree,free/reduced,completed,59,52,53
1837,male,group C,some high school,standard,none,57,57,49
1838,male,group D,some high school,standard,none,59,57,57
1839,female,group C,some high school,standard,completed,45,55,53
1840,female,group E,some college,free/reduced,completed,39,51,56
1841,male,group B,high school,free/reduced,none,61,51,49
1842,male,group B,some high school,standard,completed,88,83,71
1843,female,group C,some college,standard,completed,67,88,85
1844,female,group B,high school,free/reduced,none,3,26,28
1845,female,group B,associate's degree,free/reduced,completed,72,89,87
1846,male,group E,associate's degree,standard,completed,59,49,52
1847,male,group C,associate's degree,standard,none,84,76,78
1848,female,group C,associate's degree,standard,none,40,61,43
1849,female,group D,associate's degree,free/reduced,none,41,50,63
1850,male,group A,associate's degree,free/reduced,none,63,64,51
1851,female,group D,master's degree,standard,none,69,88,98
1852,female,group B,high school,standard,completed,78,78,85
1853,female,group B,associate's degree,free/reduced,none,56,70,72
1854,female,group B,some high school,standard,none,30,50,49
1855,female,group D,some high school,standard,none,58,78,82
1856,male,group D,high school,free/reduced,completed,75,72,78
1857,female,group D,bachelor's degree,standard,completed,72,71,77
1858,female,group B,associate's degree,standard,none,58,67,69
1859,female,group D,some high school,standard,completed,91,92,99
1860,female,group D,associate's degree,free/reduced,completed,77,94,101
1861,male,group A,bachelor's degree,standard,none,91,86,89
1862,female,group B,bachelor's degree,standard,none,57,66,60
1863,male,group B,high school,standard,none,56,53,38
1864,male,group C,some high school,free/reduced,completed,61,62,61
1865,female,group D,associate's degree,free/reduced,none,52,57,56
1866,female,group B,associate's degree,free/reduced,none,47,80,65
1867,female,group E,associate's degree,free/reduced,none,51,56,58
1868,female,group D,bachelor's degree,free/reduced,none,26,41,43
1869,female,group B,some high school,free/reduced,completed,59,73,61
1870,male,group A,bachelor's degree,free/reduced,completed,47,60,56
1871,female,group B,some high school,standard,none,71,73,72
1872,female,group D,some college,free/reduced,none,70,86,84
1873,male,group E,associate's degree,free/reduced,none,63,60,56
1874,male,group D,high school,standard,completed,57,37,52
1875,male,group C,high school,free/reduced,none,67,60,50
1876,male,group D,bachelor's degree,standard,none,66,63,57
1877,male,group B,associate's degree,standard,none,59,50,63
1878,female,group E,associate's degree,free/reduced,completed,86,94,81
1879,male,group C,some college,free/reduced,none,55,65,51
1880,male,group B,high school,standard,completed,57,51,49
1881,male,group B,associate's degree,standard,none,67,36,42
1882,male,group C,high school,standard,none,68,68,65
1883,male,group D,some college,standard,completed,83,81,86
1884,male,group B,high school,standard,none,62,57,55
1885,female,group B,some high school,free/reduced,completed,62,62,63
1886,male,group C,some college,standard,completed,80,82,86
1887,female,group E,some college,standard,none,73,74,85
1888,female,group D,some high school,free/reduced,completed,42,63,69
1889,female,group D,master's degree,free/reduced,completed,62,73,75
1890,female,group D,some college,free/reduced,completed,60,80,72
1891,male,group C,high school,free/reduced,completed,43,43,47
1892,female,group C,some high school,standard,completed,88,101,90
1893,male,group D,some high school,standard,completed,66,70,66
1894,female,group A,some college,standard,none,59,77,64
1895,male,group D,some college,standard,none,76,56,63
1896,male,group B,some college,standard,completed,97,81,77
1897,male,group C,high school,standard,none,70,81,76
1898,female,group A,some high school,free/reduced,none,48,55,46
1899,male,group C,some college,free/reduced,none,30,36,18
1900,male,group A,high school,standard,none,51,40,52
1901,female,group C,associate's degree,standard,none,55,75,70
1902,female,group C,bachelor's degree,standard,none,80,85,88
1903,male,group C,bachelor's degree,standard,none,63,62,39
1904,female,group A,master's degree,free/reduced,none,57,65,73
1905,female,group C,associate's degree,free/reduced,none,55,68,70
1906,female,group A,some college,standard,none,54,54,55
1907,female,group C,high school,free/reduced,none,29,37,37
1908,male,group D,master's degree,standard,none,93,90,81
1909,female,group B,associate's degree,standard,completed,93,94,85
1910,male,group E,some college,standard,none,73,73,71
1911,male,group E,some college,free/reduced,completed,90,70,72
1912,male,group C,high school,standard,none,94,92,80
1913,male,group B,some college,free/reduced,none,57,54,53
1914,female,group D,some high school,standard,none,88,100,88
1915,male,group E,associate's degree,standard,completed,95,76,96
1916,male,group C,some college,standard,none,61,39,44
1917,female,group B,high school,free/reduced,none,6,26,19
